titles,interviewee,url
将心灵能量转化成建筑,文   陈宛茜 联合报建筑专栏采访记者德国建筑学者麦耶（Ulf Meyer），2012 ...,http://www.chinabuildingcentre.com/show-41-664-1.html
大元建筑的几何诗性,文   王俊雄 （实践大学建筑学系副教授，台湾建筑杂志总编辑）秩序井然的几何...,http://www.chinabuildingcentre.com/show-41-663-1.html
涵泳摩登，究竟涅槃——法鼓山农禅寺鉴照,文   周榕 （清华大学建筑学院副教授、著名评论家）摩登禅性建筑师姚仁喜有两...,http://www.chinabuildingcentre.com/show-41-662-1.html
程泰宁：“艺术范儿”的建筑师姚先生,受访人   程泰宁 中国工程院院士、中联筑境建筑设计有限公司主持人采访人、编...,http://www.chinabuildingcentre.com/show-41-661-1.html
建筑是人类情感的容器——UED专访姚仁喜,采访、编辑   康娟我对于怎样创造一个空间去支撑人类日常活动中的故事特别感兴...,http://www.chinabuildingcentre.com/show-41-660-1.html
镜子里外都是镜子——西方人笔下的中国建筑之二：小屋之美,和辻哲郎曾说：“‘家’不仅仅是木材和泥土的堆积，同时表达着人类的存在。”住宅...,http://www.chinabuildingcentre.com/show-41-659-1.html
镜子里外都是镜子——西方人笔下的中国建筑,对于西方人来说，中国一直是一个神秘的异境。虽说中国的存在很早就为西洋所知，但...,http://www.chinabuildingcentre.com/show-41-657-1.html
青纱红灯里穿梭的年华：旧房改造里的补色残像,文 婷玉 来源 UED官方微信一个仅有10平方米的细长的办公室，将其分成两间，从入...,http://www.chinabuildingcentre.com/show-41-656-1.html
吉村靖孝旅舍小品之二：锯南的青年旅舍,来源 UED官方微信锯南青年旅舍建于2012年，坐落于日本千叶县，面朝东京湾。5幢别...,http://www.chinabuildingcentre.com/show-41-655-1.html
入江正之：实验装置MASIA,高迪哥特式建筑原型的创作加工是建立在他对研究加泰罗尼亚地区风格的热情上的。他...,http://www.chinabuildingcentre.com/show-41-654-1.html
人云亦云的前提——今井兼次的圣堂,今井兼次生于1895年，卒于1987年，自早稻田大学理工学部建筑学科毕业后，1938年至1...,http://www.chinabuildingcentre.com/show-41-653-1.html
子之燕居，申申如也——吉村靖孝的佐岛“乌有之乡”,《论语・述而》：“子之燕居，申申如也，夭夭如也。”“申申”、“夭夭”，均为和...,http://www.chinabuildingcentre.com/show-41-652-1.html
高迪的日本粉丝团,建筑大师高迪辞世，已暌违近百年了。高迪被葬在圣家族教堂的地下墓室。他的作品都...,http://www.chinabuildingcentre.com/show-41-651-1.html
